"report_date","civic_buildings.ext_destroyed","civic_buildings.destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","educational_buildings.destroyed","educational_buildings.damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed","places_of_worship.mosques_destroyed","places_of_worship.mosques_damaged","places_of_worship.churches_destroyed","residential.ext_destroyed","residential.destroyed"
"2024-08-19",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-20",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-21",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-22",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-23",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-24",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-25",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-26",199,199,122,334,122,334,610,214,3,610,214,3,150000,150000
"2024-08-27",199,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-28",199,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-29",199,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-30",199,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-31",200,200,122,334,122,334,610,214,3,610,214,3,150000,150000
"2024-09-01",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-02",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-03",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-04",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-05",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-06",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-07",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-08",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-09",200,NA,122,334,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-09-10",200,200,123,335,123,335,611,214,3,611,214,3,150000,150000
"2024-09-11",200,NA,123,335,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-12",200,NA,123,335,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-13",200,NA,123,335,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-14",200,NA,123,335,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-15",200,200,125,336,125,336,611,214,3,611,214,3,150000,150000
"2024-09-16",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-17",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-18",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-19",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-20",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-21",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-22",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-23",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-24",200,NA,125,336,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-25",200,200,125,336,125,336,611,214,3,611,214,3,150000,150000
"2024-09-26",201,NA,125,337,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-27",201,NA,125,337,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-28",201,NA,125,337,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-29",201,NA,125,337,NA,NA,611,214,3,NA,NA,NA,150000,NA
"2024-09-30",201,201,125,337,125,337,611,214,3,611,214,3,150000,150000
"2024-10-01",201,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-02",201,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-03",201,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-04",201,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-05",201,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-06",204,204,125,337,125,337,814,NA,3,814,NA,3,150000,150000
"2024-10-07",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-08",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-09",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-10",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-11",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-12",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-13",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-14",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-15",204,204,125,337,125,337,814,NA,3,814,NA,3,150000,150000
"2024-10-16",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-17",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-18",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-19",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-20",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-21",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-22",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-23",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-24",204,NA,125,337,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-25",205,205,126,339,126,339,814,NA,3,814,NA,3,150000,150000
"2024-10-26",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-27",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-28",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-29",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-10-30",205,205,128,342,128,342,814,NA,3,814,NA,3,150000,150000
"2024-10-31",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-01",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-02",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-03",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-04",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-05",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-06",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-07",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-08",205,NA,128,342,NA,NA,814,NA,3,NA,NA,NA,150000,NA
"2024-11-09",206,206,129,344,129,344,815,NA,3,815,NA,3,159000,159000
"2024-11-10",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-11",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-12",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-13",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-14",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-15",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-16",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-17",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-18",206,NA,129,344,NA,NA,815,NA,3,NA,NA,NA,159000,NA
"2024-11-19",208,208,131,346,131,346,815,NA,3,815,NA,3,160000,160000
"2024-11-20",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-21",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-22",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-23",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-24",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-25",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-26",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-27",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-28",208,NA,131,346,NA,NA,815,NA,3,NA,NA,NA,160000,NA
"2024-11-29",211,211,132,348,132,348,819,NA,3,819,NA,3,160500,160500
"2024-11-30",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-01",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-02",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-03",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-04",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-05",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-06",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-07",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-08",211,NA,132,348,NA,NA,819,NA,3,NA,NA,NA,160500,NA
"2024-12-09",211,211,132,348,132,348,819,NA,3,819,NA,3,160500,160500
"2024-12-10",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-11",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-12",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-13",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-14",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-15",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-16",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-17",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-18",211,NA,132,351,NA,NA,821,NA,3,NA,NA,NA,160500,NA
"2024-12-19",213,213,133,351,133,351,821,NA,3,821,NA,3,161500,161500
"2024-12-20",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-21",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-22",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-23",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-24",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-25",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-26",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-27",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-28",213,NA,133,351,NA,NA,821,NA,3,NA,NA,NA,161500,NA
"2024-12-29",213,213,135,353,135,353,823,NA,3,823,NA,3,161600,161600
"2024-12-30",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2024-12-31",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-01",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-02",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-03",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-04",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-05",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-06",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-07",213,NA,135,353,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-08",214,214,136,355,136,355,823,NA,3,823,NA,3,161600,161600
"2025-01-09",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-10",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-11",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-12",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-13",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-14",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-15",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-16",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-17",214,NA,136,355,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-18",216,216,137,357,137,357,823,NA,3,823,NA,3,161600,161600
"2025-01-19",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-20",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-21",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-22",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-23",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-24",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-25",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-26",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-27",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-28",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-29",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-30",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-01-31",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-01",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-02",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-03",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-04",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-05",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-06",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-07",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-08",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-09",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-10",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-11",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-12",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-13",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-14",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-15",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-16",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-17",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-18",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-19",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-20",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-21",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-22",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-23",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-24",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-25",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-26",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-27",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-02-28",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-01",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-02",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-03",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-04",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-05",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-06",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-07",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-08",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-09",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-10",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-11",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-12",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-13",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-14",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-15",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-16",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-17",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-18",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-19",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-20",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-21",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-22",216,NA,137,357,NA,NA,823,NA,3,NA,NA,NA,161600,NA
"2025-03-23",221,221,139,359,139,359,825,NA,3,825,NA,3,165000,165000
"2025-03-24",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-25",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-26",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-27",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-28",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-29",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-30",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-03-31",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-01",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-02",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-03",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-04",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-05",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-06",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-07",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-08",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-09",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-10",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-11",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-12",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-13",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-14",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-15",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-16",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-17",221,NA,139,359,NA,NA,825,NA,3,NA,NA,NA,165000,NA
"2025-04-18",224,224,142,364,142,364,828,NA,3,828,NA,3,165000,165000
"2025-04-19",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-20",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-21",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-22",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-23",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-24",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-25",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-26",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-27",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-28",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-29",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-04-30",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-01",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-02",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-03",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-04",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-05",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-06",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-07",224,NA,142,364,NA,NA,828,NA,3,NA,NA,NA,210000,NA
"2025-05-08",225,225,143,366,143,366,828,NA,3,828,NA,3,210000,210000
